Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	86	6.11	4.04	0.054	0.572	70.9269	0.9094	4.04246	4.01652	
1	86	3.62	3.94	0.051	0.420	52.2306	0.7003	6.76328	4.01094	
2	86	2.56	4.05	0.051	0.432	53.6964	0.7185	4.04564	3.95626	
3	86	4.76	3.96	0.052	0.433	53.8619	0.7241	6.30844	4.00737	
4	86	3.10	3.86	0.053	0.443	55.2750	0.7444	4.42467	3.93568	
5	86	2.88	3.85	0.050	0.409	50.7858	0.6789	4.08387	3.89344	
6	86	4.11	4.01	0.056	0.464	57.7058	0.7807	4.22843	3.80222	
7	86	4.20	3.86	0.058	0.447	55.6328	0.7496	3.27460	3.89044	
8	86	2.64	3.85	0.057	0.442	54.9230	0.7399	3.72042	3.79460	
9	86	3.74	3.85	0.051	0.454	56.3600	0.7666	3.67643	3.90137	
10	86	2.57	3.87	0.054	0.479	59.5751	0.8131	5.78339	3.90421	
11	86	4.68	3.93	0.053	0.477	59.4035	0.8108	3.76187	3.80361	
12	86	3.10	3.86	0.051	0.435	53.9833	0.7266	2.92430	3.90256	
13	86	3.43	3.85	0.050	0.444	55.2413	0.7407	5.82819	3.86703	
14	86	3.32	3.92	0.050	0.436	54.1475	0.7260	3.23649	3.67945	
15	86	3.98	3.99	0.051	0.432	53.6210	0.7186	4.28257	3.70541	
16	86	5.81	3.91	0.050	0.438	54.3618	0.7297	4.31951	3.75530	
17	86	3.77	3.97	0.051	0.419	52.0133	0.6977	4.45161	3.71879	
18	86	4.43	3.89	0.053	0.415	51.6240	0.6905	3.08784	3.71628	
19	86	3.89	3.90	0.049	0.417	51.8370	0.6946	3.47279	3.68269	
20	86	3.28	4.01	0.051	0.415	51.6024	0.6908	3.28330	3.77204	
21	86	3.23	3.97	0.050	0.423	52.5387	0.7022	3.93950	3.75237	
22	86	4.40	3.90	0.053	0.417	51.9064	0.6947	4.03318	3.81751	
23	86	2.90	3.99	0.064	0.418	51.9720	0.6967	3.35148	3.67225	
24	86	2.32	3.98	0.051	0.427	53.0470	0.7081	4.70558	3.76112	
25	86	4.00	3.91	0.061	0.430	53.4883	0.7173	4.62372	3.73690	
26	86	3.71	3.89	0.065	0.426	53.0302	0.7090	4.43563	3.72392	
27	86	4.22	3.97	0.054	0.426	52.9933	0.7074	3.06336	3.73816	
28	86	4.98	3.90	0.052	0.429	53.3466	0.7178	5.09422	3.66195	
29	86	4.94	3.99	0.050	0.420	52.1686	0.7004	3.83283	3.59062	
30	86	4.84	3.91	0.049	0.422	52.3715	0.7013	2.65932	3.69716	
31	86	4.85	3.92	0.051	0.416	51.6722	0.6917	3.17187	3.64495	
32	86	3.47	3.90	0.050	0.417	51.8534	0.6942	3.33690	3.74230	
33	86	4.27	3.91	0.053	0.417	51.8631	0.6946	2.89847	3.65040	
34	86	2.84	3.94	0.052	0.415	51.5517	0.6898	3.28347	3.75246	
35	86	3.71	4.00	0.050	0.416	51.7249	0.6930	3.82536	3.58558	
36	86	3.03	3.92	0.051	0.415	51.5804	0.6907	3.63722	3.60633	
37	86	4.96	3.93	0.051	0.415	51.6234	0.6913	2.75259	3.66643	
38	86	3.68	3.94	0.051	0.417	51.7801	0.6940	5.49908	3.59476	
39	86	4.59	3.91	0.051	0.417	51.8503	0.6947	5.19523	3.66511	
40	86	3.06	3.99	0.051	0.414	51.4567	0.6883	3.47126	3.54510	
41	86	3.90	3.93	0.051	0.417	51.8200	0.6943	3.73369	3.62629	
42	86	3.60	3.84	0.050	0.424	52.6994	0.7076	3.34752	3.54271	
43	86	3.85	3.88	0.051	0.419	52.1202	0.6996	3.73274	3.60236	
44	86	3.50	3.88	0.052	0.415	51.6261	0.6916	3.76575	3.58651	
45	86	4.04	3.98	0.051	0.417	51.8435	0.6951	6.45304	3.63138	
46	86	5.38	4.03	0.052	0.415	51.5216	0.6900	3.23145	3.55047	
47	86	3.19	4.00	0.051	0.417	51.8416	0.6936	3.91760	3.52506	
48	86	5.52	4.01	0.051	0.427	53.1085	0.7109	3.70183	3.59935	
49	86	5.07	3.93	0.050	0.418	52.0146	0.6961	3.35676	3.59505	
50	86	4.22	3.98	0.052	0.420	52.1855	0.7001	3.15683	3.59849	
51	86	6.65	4.09	0.054	0.427	53.0890	0.7111	3.16660	3.52686	
52	86	2.85	3.88	0.050	0.440	54.7081	0.7360	2.26822	3.58735	
53	86	3.69	3.96	0.051	0.419	52.0632	0.6978	3.85943	3.55415	
54	86	3.40	3.87	0.051	0.419	52.0993	0.6990	3.46848	3.55730	
55	86	3.45	3.88	0.050	0.416	51.6476	0.6923	3.48232	3.49285	
56	86	3.10	3.95	0.053	0.414	51.5101	0.6894	2.99053	3.56078	
57	86	2.97	3.90	0.053	0.416	51.6686	0.6916	3.60971	3.47861	
58	86	3.75	3.95	0.050	0.414	51.4396	0.6886	3.87227	3.49426	
59	86	3.80	4.05	0.050	0.436	54.2132	0.7277	2.85098	3.70992	
60	86	4.16	3.92	0.054	0.430	53.5465	0.7214	3.54912	3.52853	
61	86	4.13	3.92	0.053	0.436	54.2135	0.7290	3.70089	3.56153	
62	86	3.20	3.99	0.050	0.432	53.7122	0.7226	3.01200	3.50438	
63	86	3.42	4.02	0.055	0.432	53.7474	0.7209	3.23525	3.47823	
