Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	86	3.41	3.93	0.047	0.504	62.5261	0.7886	4.65785	4.37868	
1	86	4.21	4.08	0.050	0.472	58.6494	0.7625	3.49286	4.29347	
2	86	5.66	3.91	0.051	0.475	58.9905	0.7667	5.01275	4.24723	
3	86	4.01	3.78	0.052	0.467	57.9437	0.7520	3.48374	4.27756	
4	86	4.04	3.84	0.047	0.474	58.8460	0.7729	5.00623	4.18945	
5	86	3.95	3.94	0.047	0.446	55.4283	0.7186	3.93075	4.04053	
6	86	4.09	3.85	0.047	0.445	55.2045	0.7138	3.26186	4.12791	
7	86	5.11	3.92	0.042	0.451	55.9895	0.7248	3.77476	4.23115	
8	86	3.80	3.88	0.047	0.455	56.4826	0.7325	6.90492	4.18104	
9	86	5.89	4.07	0.053	0.452	56.1393	0.7283	3.37362	4.13607	
10	86	3.40	3.81	0.047	0.446	55.4197	0.7179	3.61867	4.09404	
11	86	3.14	3.90	0.063	0.448	55.6306	0.7212	5.83772	4.14090	
12	86	3.27	3.85	0.047	0.445	55.2549	0.7152	4.37866	4.15394	
13	86	5.69	4.03	0.047	0.451	56.0317	0.7276	3.24968	4.11500	
14	86	2.35	3.86	0.042	0.465	57.7977	0.7508	3.60636	4.10543	
15	86	3.27	3.96	0.048	0.460	57.1121	0.7405	4.49870	4.08247	
16	86	3.55	3.90	0.063	0.445	55.2529	0.7154	3.67978	4.05338	
17	86	3.33	3.80	0.047	0.446	55.3850	0.7174	4.19812	4.12913	
18	86	3.36	3.85	0.047	0.444	55.1242	0.7127	4.81243	3.99553	
19	86	3.96	3.90	0.047	0.449	55.7320	0.7234	3.42897	4.11499	
20	86	3.53	3.81	0.047	0.452	56.0890	0.7280	3.36411	3.94924	
21	86	2.75	3.94	0.047	0.454	56.3545	0.7321	3.83463	4.00888	
22	86	3.23	3.90	0.062	0.448	55.5827	0.7199	4.57182	4.06307	
23	86	5.20	3.92	0.063	0.446	55.3340	0.7171	4.91318	4.13102	
24	86	3.32	3.91	0.047	0.445	55.3021	0.7156	4.36148	3.99327	
25	86	3.98	3.97	0.047	0.444	55.1734	0.7138	4.04448	4.05953	
26	86	3.04	3.94	0.052	0.446	55.3888	0.7172	4.89291	4.07712	
27	86	3.70	4.01	0.047	0.452	56.1208	0.7274	3.03537	3.99151	
28	86	3.39	3.85	0.055	0.452	56.1564	0.7286	4.49619	4.04707	
29	86	3.21	3.91	0.047	0.446	55.4147	0.7171	3.66745	3.91899	
30	86	3.66	3.89	0.041	0.457	56.7062	0.7374	4.49749	4.01359	
31	86	3.62	3.88	0.047	0.450	55.9237	0.7240	4.36935	4.06108	
32	86	3.69	3.97	0.047	0.458	56.8930	0.7387	4.39452	3.99754	
33	86	3.67	3.95	0.061	0.469	58.3273	0.7571	3.32565	3.99235	
34	86	4.72	3.84	0.052	0.468	58.0716	0.7590	3.77246	4.00541	
35	86	4.26	3.89	0.052	0.462	57.4970	0.7465	3.53299	4.08421	
36	86	2.61	3.86	0.063	0.486	60.3132	0.7771	5.85818	4.02211	
37	86	4.16	3.89	0.053	0.459	57.1071	0.7394	4.12841	3.98127	
38	86	4.06	3.84	0.047	0.453	56.3242	0.7314	6.53750	3.94275	
39	86	4.76	3.79	0.047	0.456	56.6270	0.7345	3.95591	3.95877	
40	86	3.87	3.92	0.047	0.446	55.4266	0.7184	3.50977	3.92566	
41	86	3.56	3.86	0.047	0.447	55.5421	0.7197	3.13726	3.85807	
42	86	3.42	4.07	0.052	0.449	55.7551	0.7193	4.04858	3.98053	
43	86	4.44	4.05	0.052	0.447	55.4783	0.7191	3.95410	4.11264	
44	86	2.76	4.13	0.055	0.470	58.5581	0.7606	5.45980	3.90943	
45	86	2.70	3.85	0.051	0.514	63.7652	0.8306	3.55921	3.90460	
46	86	4.48	3.79	0.050	0.488	60.6247	0.7903	3.54317	3.95535	
47	86	5.12	3.97	0.052	0.459	56.9914	0.7371	4.04771	3.84073	
48	86	4.90	3.93	0.064	0.467	58.0927	0.7581	4.69735	3.95639	
49	86	3.99	4.01	0.050	0.484	60.0500	0.7856	4.57818	3.89066	
50	86	3.97	3.88	0.051	0.466	58.0339	0.7512	3.97606	3.95128	
51	86	3.61	4.02	0.047	0.471	58.4188	0.7591	3.23152	3.88941	
52	86	4.16	3.86	0.047	0.444	55.1225	0.7128	3.97012	3.92932	
53	86	2.69	3.93	0.047	0.446	55.4134	0.7176	4.13122	3.95996	
54	86	4.53	3.83	0.052	0.443	55.0497	0.7123	4.03046	3.91250	
55	86	3.03	3.76	0.047	0.443	55.1019	0.7133	4.56692	3.88605	
56	86	3.07	3.91	0.047	0.450	56.0174	0.7277	2.83758	3.95954	
57	86	4.09	3.83	0.048	0.448	55.6347	0.7213	3.71327	3.89412	
58	86	3.51	3.84	0.047	0.445	55.2361	0.7153	5.42402	3.98895	
59	86	2.76	3.90	0.047	0.448	55.6302	0.7216	4.80237	3.86750	
60	86	3.66	3.89	0.047	0.458	56.8500	0.7389	3.84556	3.89315	
61	86	3.45	3.99	0.056	0.502	62.3772	0.8132	4.42405	3.84582	
62	86	4.12	4.01	0.054	0.500	62.1380	0.8120	3.93936	3.88546	
63	86	5.06	3.93	0.052	0.484	60.1044	0.7879	4.37248	3.91075	
64	86	4.09	3.96	0.053	0.475	59.0736	0.7703	3.70263	3.89422	
65	86	3.33	3.91	0.053	0.505	62.7979	0.8154	3.40600	3.98702	
66	86	3.56	3.90	0.059	0.511	63.5752	0.8288	3.54880	3.85595	
67	86	6.08	3.95	0.054	0.513	63.8284	0.8329	2.75574	3.93416	
68	86	3.22	3.97	0.053	0.505	62.6481	0.8196	4.45003	3.90106	
69	86	3.74	3.84	0.051	0.486	60.3601	0.7890	3.88083	3.75131	
70	86	4.06	3.98	0.047	0.448	55.7035	0.7218	2.90792	3.85455	
71	86	3.05	3.87	0.063	0.452	56.1487	0.7288	3.63534	3.88244	
72	86	4.49	4.10	0.063	0.454	56.3546	0.7308	4.45887	3.89192	
73	86	2.88	3.99	0.047	0.456	56.6068	0.7347	2.77092	3.93620	
74	86	3.87	3.94	0.043	0.449	55.8044	0.7237	4.93377	3.88165	
75	86	4.27	3.90	0.047	0.447	55.5139	0.7182	3.39276	3.91927	
76	86	4.96	4.00	0.047	0.444	55.1726	0.7142	4.57978	3.89115	
77	86	3.78	3.99	0.063	0.447	55.6270	0.7200	3.18159	3.77558	
78	86	3.81	3.84	0.047	0.452	56.1591	0.7283	4.09007	3.88189	
79	86	4.13	3.97	0.047	0.457	56.7167	0.7371	3.37793	3.90840	
80	86	3.11	3.99	0.063	0.450	55.8925	0.7245	3.28605	3.90041	
81	86	3.84	3.92	0.047	0.447	55.5613	0.7198	4.50664	3.92702	
82	86	3.65	3.87	0.047	0.445	55.2068	0.7148	3.76643	3.90882	
83	86	3.99	3.86	0.055	0.445	55.2062	0.7143	3.49558	3.88170	
84	86	3.87	3.86	0.063	0.445	55.3094	0.7162	4.47920	3.83545	
85	86	2.86	3.86	0.047	0.449	55.8504	0.7222	3.44857	3.80079	
86	86	3.66	3.87	0.047	0.453	56.2385	0.7287	3.94836	3.90745	
87	86	5.21	3.90	0.047	0.446	55.4648	0.7188	3.87277	3.88980	
88	86	2.84	3.93	0.063	0.448	55.6498	0.7214	3.17352	3.87975	
89	86	3.33	3.89	0.048	0.444	55.1425	0.7130	3.01831	3.92688	
90	86	4.56	3.84	0.047	0.446	55.3835	0.7172	3.63769	3.80950	
91	86	3.01	3.85	0.063	0.451	56.0562	0.7263	4.04430	3.80413	
92	86	3.70	3.89	0.047	0.454	56.4020	0.7297	3.26976	3.87614	
93	86	3.69	3.91	0.047	0.450	55.8427	0.7230	7.74086	3.78640	
94	86	2.90	3.87	0.047	0.447	55.5375	0.7190	3.42803	3.87886	
95	86	3.57	4.03	0.063	0.445	55.2316	0.7149	3.63047	3.87990	
96	86	2.56	3.88	0.048	0.447	55.4649	0.7176	4.16232	3.79559	
97	86	4.11	3.94	0.063	0.448	55.5805	0.7203	3.67817	3.82355	
98	86	2.49	4.01	0.063	0.453	56.2611	0.7305	5.17775	3.78229	
99	86	3.76	3.98	0.051	0.454	56.4372	0.7323	3.60642	3.88006	
100	86	4.10	4.01	0.047	0.450	55.8746	0.7243	3.41163	3.70092	
101	86	7.63	3.95	0.062	0.445	55.2996	0.7157	3.64186	3.79069	
102	86	4.84	3.94	0.058	0.446	55.3387	0.7161	4.19532	3.83566	
103	86	5.21	4.15	0.063	0.446	55.3870	0.7169	2.87252	3.81559	
104	86	3.24	3.91	0.047	0.446	55.3893	0.7175	3.82706	3.81774	
105	86	2.85	3.97	0.047	0.449	55.7329	0.7226	3.52754	3.72793	
106	86	4.05	3.93	0.053	0.453	56.2871	0.7310	5.27166	3.93252	
107	86	3.21	4.05	0.063	0.452	56.1771	0.7284	3.16570	3.77848	
108	86	1.95	3.95	0.063	0.449	55.7256	0.7224	3.41960	3.71518	
109	86	3.53	3.88	0.047	0.447	55.5047	0.7177	3.59568	3.79569	
110	86	4.50	4.15	0.047	0.446	55.3859	0.7165	2.83057	3.83159	
111	86	3.57	4.11	0.047	0.446	55.4565	0.7186	4.84092	3.83387	
112	86	3.43	3.91	0.062	0.450	55.9100	0.7246	3.19014	3.82861	
113	86	4.33	3.97	0.047	0.451	56.0817	0.7257	3.05595	3.80964	
114	86	4.46	3.96	0.047	0.446	55.4446	0.7181	2.83926	3.85371	
115	86	4.98	4.03	0.047	0.448	55.5781	0.7209	4.38907	3.85655	
116	86	5.41	4.03	0.047	0.444	55.1720	0.7137	6.50852	3.84741	
117	86	4.49	3.92	0.063	0.446	55.3544	0.7162	3.72756	3.79043	
118	86	5.25	3.92	0.064	0.453	56.2301	0.7291	4.52610	3.71723	
119	86	4.43	3.90	0.047	0.474	58.9137	0.7714	3.74862	3.81198	
120	86	4.42	3.97	0.041	0.461	57.2092	0.7440	6.14270	3.84004	
121	86	3.85	4.03	0.047	0.446	55.3591	0.7173	2.85301	3.69933	
122	86	3.39	3.98	0.047	0.447	55.5380	0.7190	4.42318	3.79561	
123	86	4.07	4.10	0.063	0.446	55.4689	0.7182	3.08940	3.74498	
124	86	3.40	4.07	0.047	0.453	56.3149	0.7316	3.19305	3.83049	
125	86	3.66	4.02	0.047	0.464	57.5686	0.7503	3.17514	3.79500	
126	86	3.74	3.89	0.063	0.454	56.4361	0.7326	2.68284	3.62651	
127	86	4.07	3.92	0.047	0.448	55.7125	0.7228	2.83244	3.73405	
128	86	2.61	3.79	0.048	0.446	55.3790	0.7169	3.34289	3.73648	
129	86	3.56	3.88	0.063	0.447	55.4894	0.7185	5.87451	3.69166	
130	86	4.26	3.87	0.047	0.449	55.7998	0.7230	5.29371	3.67138	
131	86	3.77	3.81	0.063	0.458	56.9177	0.7406	4.10444	3.75269	
132	86	4.84	3.83	0.047	0.451	55.9522	0.7263	4.75793	3.66536	
133	86	2.82	3.84	0.047	0.444	55.2208	0.7150	3.00325	3.62177	
134	86	3.64	3.87	0.047	0.448	55.5796	0.7195	3.04747	3.60546	
135	86	3.52	3.86	0.047	0.446	55.4245	0.7177	2.81668	3.67552	
136	86	3.33	3.88	0.043	0.445	55.2999	0.7154	4.58560	3.67584	
137	86	3.60	3.84	0.047	0.453	56.3199	0.7309	3.92218	3.71066	
138	86	4.83	3.90	0.047	0.453	56.3004	0.7306	3.90440	3.50620	
139	86	2.89	3.81	0.047	0.447	55.5146	0.7193	3.26052	3.57129	
140	86	3.53	3.90	0.047	0.445	55.3303	0.7167	2.97097	3.56501	
141	86	4.25	3.94	0.056	0.446	55.3948	0.7169	3.68525	3.74892	
142	86	3.64	3.87	0.047	0.446	55.3835	0.7171	3.30274	3.56273	
143	86	3.60	3.90	0.046	0.451	55.9967	0.7258	4.11397	3.57592	
144	86	3.89	3.86	0.063	0.454	56.4239	0.7318	3.80099	3.65439	
145	86	3.51	3.96	0.048	0.447	55.5205	0.7195	4.36154	3.62029	
146	86	3.31	3.86	0.047	0.446	55.4395	0.7175	2.99058	3.55429	
147	86	3.66	3.92	0.061	0.449	55.7124	0.7218	2.54903	3.64721	
148	86	3.56	3.91	0.054	0.447	55.5498	0.7203	3.40817	3.66920	
149	86	3.51	3.96	0.047	0.449	55.7381	0.7227	2.95726	3.63467	
150	86	4.21	3.79	0.063	0.445	55.2700	0.7154	2.26312	3.64575	
151	86	3.96	3.86	0.047	0.452	56.1484	0.7288	3.93919	3.65592	
152	86	3.79	3.85	0.047	0.455	56.4802	0.7333	3.55588	3.60447	
153	86	6.14	3.78	0.051	0.448	55.6706	0.7215	4.00504	3.61584	
154	86	4.16	3.87	0.047	0.448	55.6080	0.7209	4.16968	3.70368	
155	86	3.69	3.85	0.047	0.446	55.4509	0.7183	4.05859	3.66042	
156	86	3.73	3.91	0.063	0.448	55.6874	0.7222	3.40364	3.60465	
157	86	3.93	3.86	0.047	0.445	55.2358	0.7154	3.00003	3.55534	
158	86	4.23	3.84	0.050	0.448	55.6783	0.7213	3.46760	3.59552	
159	86	3.76	3.98	0.047	0.453	56.3086	0.7303	3.35767	3.61838	
160	86	2.14	3.85	0.053	0.451	55.9551	0.7257	3.55690	3.59023	
161	86	4.79	3.87	0.047	0.448	55.6518	0.7216	6.29806	3.61062	
162	86	4.13	3.98	0.064	0.445	55.2634	0.7158	3.47255	3.60621	
163	86	3.80	3.89	0.047	0.446	55.4440	0.7173	3.92473	3.67228	
164	86	3.01	3.89	0.047	0.446	55.4631	0.7173	2.89645	3.64106	
165	86	3.35	3.98	0.047	0.454	56.4342	0.7327	4.81393	3.75889	
