Epoch	Train Loader size	Val Loss	Val Loss Average	Batch Time	Batch Time Average	Data Time	Data Time Average	Loss	Loss Average
0	350	5.79	5.74	0.059	0.185	92.7231	0.2325	6.96202	8.71029	
1	350	4.58	5.19	0.062	0.178	89.2284	0.2271	4.38331	5.40587	
2	350	4.21	5.49	0.060	0.177	88.9077	0.2262	6.14838	5.13867	
3	350	5.82	4.97	0.058	0.178	89.2712	0.2262	5.70597	4.92757	
4	350	3.68	4.62	0.062	0.176	88.3485	0.2246	3.66633	4.75278	
5	350	5.75	4.50	0.062	0.182	91.3707	0.2359	5.43262	4.70530	
6	350	4.24	4.32	0.047	0.176	88.3624	0.2246	3.46852	4.54791	
7	350	5.95	4.43	0.063	0.176	88.5700	0.2255	5.80392	4.48155	
8	350	4.13	4.47	0.047	0.178	89.2897	0.2265	4.21131	4.37323	
9	350	4.17	4.30	0.061	0.176	88.6696	0.2240	3.84155	4.34202	
10	350	3.97	4.10	0.047	0.176	88.2284	0.2235	4.77124	4.24403	
11	350	4.44	4.39	0.062	0.177	88.6652	0.2256	6.60135	4.30085	
12	350	3.82	4.11	0.062	0.177	88.7043	0.2247	2.61151	4.23999	
13	350	4.24	4.21	0.059	0.177	88.9733	0.2255	3.59781	4.19926	
14	350	5.43	4.05	0.047	0.177	89.0221	0.2256	3.57403	4.05082	
15	350	3.80	3.99	0.060	0.176	88.2846	0.2239	4.13062	4.04506	
16	350	2.49	4.06	0.062	0.176	88.2359	0.2236	3.73073	4.06767	
17	350	2.92	4.03	0.059	0.180	90.2672	0.2281	3.71672	3.96432	
18	350	5.35	4.07	0.047	0.182	91.5073	0.2306	3.22821	4.01670	
19	350	3.02	3.93	0.050	0.182	91.1927	0.2300	3.35286	3.93376	
20	350	4.90	3.89	0.063	0.177	88.8764	0.2257	4.24428	3.85124	
21	350	3.85	3.87	0.047	0.177	88.9089	0.2263	3.98301	3.88322	
22	350	3.51	3.98	0.063	0.176	88.1899	0.2233	4.91825	3.78420	
23	350	3.93	3.95	0.061	0.177	89.0671	0.2252	4.16545	3.84505	
24	350	3.86	3.86	0.045	0.177	88.9940	0.2249	3.97227	3.75528	
25	350	3.72	3.90	0.050	0.179	89.8242	0.2296	3.60859	3.71961	
26	350	3.71	4.01	0.062	0.177	89.0249	0.2251	4.99505	3.67130	
27	350	4.85	3.82	0.062	0.177	89.0272	0.2248	3.84414	3.71344	
28	350	3.81	3.77	0.062	0.176	88.2775	0.2234	2.53154	3.64519	
29	350	3.42	3.84	0.047	0.176	88.4863	0.2243	2.53501	3.63869	
30	350	4.82	3.89	0.047	0.177	88.8498	0.2245	6.44762	3.63877	
31	350	6.15	3.74	0.062	0.178	89.1980	0.2264	3.22242	3.60597	
32	350	3.33	3.83	0.068	0.177	88.8228	0.2249	3.47446	3.61711	
33	350	3.06	3.89	0.047	0.178	89.5880	0.2268	2.79697	3.57649	
34	350	4.37	3.83	0.077	0.178	89.2159	0.2255	3.89646	3.58497	
35	350	3.56	3.90	0.062	0.178	89.4301	0.2262	5.70346	3.59184	
36	350	2.44	3.71	0.068	0.179	89.9775	0.2280	3.64725	3.55236	
37	350	4.30	3.86	0.047	0.180	90.6700	0.2302	3.31774	3.44931	
38	350	4.75	3.69	0.063	0.183	92.0998	0.2327	3.40805	3.47584	
39	350	3.50	3.69	0.059	0.178	89.6317	0.2265	4.76072	3.48341	
40	350	3.85	3.73	0.060	0.178	89.1903	0.2264	3.12865	3.43941	
41	350	3.35	3.72	0.059	0.180	90.2532	0.2293	6.37374	3.46826	
42	350	3.14	3.76	0.061	0.178	89.4019	0.2261	1.78194	3.43096	
43	350	4.42	3.70	0.062	0.178	89.4982	0.2262	2.75780	3.41794	
44	350	2.87	3.82	0.061	0.178	89.5726	0.2267	4.12666	3.41499	
45	350	2.12	3.71	0.060	0.179	89.8157	0.2265	3.31276	3.43148	
46	350	2.66	3.65	0.061	0.179	89.8614	0.2275	3.59140	3.37533	
47	350	3.92	3.67	0.061	0.177	88.9334	0.2253	3.51402	3.37974	
48	350	4.30	3.73	0.060	0.178	89.4276	0.2265	2.31409	3.43273	
49	350	2.89	3.73	0.059	0.178	89.4778	0.2262	2.71750	3.33605	
50	350	3.06	3.80	0.059	0.178	89.3805	0.2263	3.97435	3.32347	
51	350	4.60	3.85	0.059	0.177	89.0846	0.2249	3.60737	3.32671	
52	350	2.93	3.63	0.061	0.178	89.3550	0.2257	2.69207	3.35668	
53	350	3.21	3.62	0.059	0.177	88.9890	0.2259	4.82805	3.36563	
54	350	3.92	3.64	0.061	0.177	88.9860	0.2255	2.46197	3.34958	
55	350	3.98	3.65	0.060	0.178	89.4506	0.2259	3.27544	3.34290	
56	350	3.81	3.73	0.059	0.178	89.3185	0.2255	3.69572	3.29568	
57	350	3.40	3.72	0.060	0.178	89.3957	0.2258	4.15386	3.27465	
58	350	4.00	3.68	0.061	0.178	89.4211	0.2261	2.70206	3.29988	
59	350	3.06	3.73	0.061	0.179	89.8482	0.2275	3.77407	3.30351	
60	350	4.20	3.74	0.060	0.178	89.4027	0.2258	4.31311	3.26691	
61	350	6.34	3.72	0.059	0.179	90.0327	0.2275	2.84230	3.30781	
62	350	3.62	3.66	0.061	0.178	89.6219	0.2264	3.59873	3.27714	
63	350	2.37	3.66	0.060	0.178	89.4301	0.2259	3.45326	3.24818	
64	350	2.71	3.69	0.060	0.178	89.4078	0.2256	3.22624	3.30989	
65	350	3.54	3.61	0.060	0.179	89.7834	0.2275	2.95817	3.24633	
66	350	4.05	3.63	0.058	0.177	88.9407	0.2254	3.71962	3.19891	
67	350	4.44	3.71	0.060	0.178	89.4798	0.2260	3.67699	3.28291	
68	350	3.93	3.59	0.059	0.178	89.1885	0.2252	4.25303	3.24489	
69	350	4.88	3.64	0.060	0.178	89.2051	0.2260	4.72831	3.24805	
70	350	2.38	3.77	0.059	0.179	90.0356	0.2279	3.85818	3.22564	
71	350	5.25	3.80	0.060	0.179	89.6650	0.2268	3.11798	3.19521	
72	350	4.51	3.77	0.061	0.178	89.4338	0.2259	3.34488	3.20624	
73	350	3.27	3.60	0.059	0.178	89.4385	0.2259	3.65177	3.18223	
74	350	3.03	3.56	0.061	0.178	89.1950	0.2250	3.91950	3.20184	
75	350	3.82	3.67	0.059	0.179	89.7798	0.2287	2.54078	3.22523	
76	350	3.34	3.61	0.059	0.178	89.2578	0.2257	2.81127	3.12159	
77	350	3.56	3.67	0.060	0.178	89.5947	0.2268	2.97721	3.17057	
78	350	3.27	3.62	0.062	0.179	89.6778	0.2266	3.58788	3.09617	
79	350	4.44	3.75	0.060	0.178	89.5961	0.2266	2.78917	3.14455	
80	350	5.38	3.63	0.060	0.178	89.6674	0.2269	4.33006	3.10533	
81	350	4.78	3.65	0.060	0.178	89.3977	0.2260	2.10482	3.18833	
82	350	4.05	3.57	0.060	0.178	89.6098	0.2265	3.37988	3.19983	
83	350	4.76	3.76	0.061	0.178	89.4617	0.2262	3.44909	3.10104	
84	350	3.33	3.72	0.060	0.178	89.5166	0.2261	3.38285	3.14497	
85	350	3.27	3.62	0.059	0.179	89.7304	0.2270	3.74469	3.15952	
86	350	5.08	3.92	0.060	0.178	89.6282	0.2265	4.43140	3.14220	
87	350	3.12	3.62	0.059	0.179	89.8815	0.2271	4.56790	3.08341	
88	350	4.01	3.70	0.061	0.178	89.3770	0.2259	3.86447	3.12538	
89	350	3.24	3.72	0.059	0.179	89.6525	0.2266	3.87682	3.16894	
90	350	3.55	3.67	0.061	0.179	89.8289	0.2270	2.58611	3.13647	
91	350	3.77	3.65	0.060	0.178	89.4046	0.2259	2.28893	3.11406	
92	350	3.64	3.75	0.062	0.178	89.6276	0.2266	3.45560	3.13317	
93	350	3.93	3.63	0.059	0.179	89.6778	0.2265	1.77597	3.00955	
94	350	3.97	3.67	0.059	0.178	89.5851	0.2266	3.09341	3.10928	
95	350	2.14	3.77	0.060	0.178	89.4032	0.2259	3.39217	3.05945	
96	350	3.54	3.63	0.060	0.179	89.6614	0.2262	2.59496	3.11478	
97	350	2.89	3.64	0.059	0.178	89.5857	0.2261	3.19496	3.12010	
98	350	4.62	3.60	0.060	0.179	89.8751	0.2271	2.95471	3.08207	
99	350	3.21	3.63	0.059	0.178	89.4409	0.2258	4.49156	3.10005	
100	350	3.82	3.61	0.062	0.179	89.8138	0.2273	3.07184	3.06298	
101	350	2.31	3.74	0.061	0.178	89.6298	0.2264	2.49768	3.05685	
102	350	4.30	3.68	0.059	0.178	89.6407	0.2264	3.51941	3.08170	
103	350	3.72	3.59	0.060	0.178	89.6252	0.2265	3.37894	3.10099	
104	350	3.66	3.63	0.059	0.178	89.5963	0.2264	3.03676	3.09454	
105	350	3.85	3.68	0.060	0.178	89.6733	0.2267	2.78336	3.04763	
106	350	4.11	3.61	0.060	0.179	89.8123	0.2269	2.63962	3.02164	
107	350	3.67	3.66	0.061	0.179	89.8206	0.2273	5.24295	3.08579	
108	350	3.33	3.69	0.058	0.179	89.6710	0.2266	3.08371	3.03300	
109	350	4.37	3.69	0.069	0.178	89.5670	0.2262	3.90296	3.05425	
110	350	4.01	3.64	0.060	0.178	89.6144	0.2262	2.28793	3.01031	
111	350	3.81	3.81	0.059	0.179	89.6494	0.2265	1.62788	3.06148	
112	350	3.70	3.66	0.060	0.178	89.6148	0.2263	2.89586	3.08349	
113	350	3.68	3.68	0.060	0.178	89.6231	0.2266	4.10752	3.09918	
114	350	3.81	3.69	0.061	0.178	89.6431	0.2266	3.18936	3.07479	
115	350	4.26	3.70	0.061	0.178	89.3926	0.2258	4.23740	3.06819	
116	350	6.30	3.65	0.059	0.179	89.6685	0.2264	2.68754	3.08912	
117	350	3.81	3.68	0.061	0.179	89.8340	0.2270	2.56046	3.03963	
118	350	4.17	3.58	0.061	0.178	89.5842	0.2264	3.08245	3.03977	
119	350	2.92	3.67	0.060	0.178	89.5816	0.2259	2.70459	3.02550	
120	350	4.02	3.56	0.061	0.179	89.8741	0.2271	2.76965	3.01126	
121	350	3.94	3.57	0.060	0.179	89.6546	0.2262	2.62929	3.06222	
122	350	2.91	3.79	0.061	0.178	89.6016	0.2264	3.66537	3.02924	
123	350	4.38	3.79	0.059	0.178	89.6117	0.2264	3.14562	3.08510	
124	350	3.14	3.74	0.060	0.179	89.6970	0.2265	2.76065	3.03490	
125	350	3.01	3.59	0.059	0.179	89.7596	0.2270	2.08173	3.00141	
126	350	4.49	3.74	0.060	0.179	89.8242	0.2272	2.61675	3.07386	
127	350	2.69	3.65	0.061	0.178	89.4590	0.2257	3.25278	3.04308	
128	350	3.90	3.63	0.061	0.179	90.0169	0.2278	2.69074	3.00642	
129	350	3.74	3.72	0.059	0.178	89.6560	0.2262	2.91494	3.00666	
130	350	5.16	3.75	0.061	0.178	89.3890	0.2255	2.98278	3.02510	
131	350	3.05	3.86	0.061	0.178	89.6035	0.2263	4.08098	3.01101	
132	350	3.83	3.57	0.061	0.178	89.6228	0.2261	3.02321	3.03136	
133	350	3.24	3.68	0.062	0.178	89.6298	0.2264	2.74484	3.03154	
134	350	2.47	3.61	0.061	0.179	89.8199	0.2273	4.63078	3.03040	
135	350	3.26	3.54	0.059	0.179	89.8169	0.2269	4.07723	3.05126	
136	350	3.27	3.75	0.061	0.177	88.7868	0.2249	1.79565	3.02306	
137	350	2.49	3.76	0.061	0.178	89.5004	0.2264	4.09232	2.97933	
138	350	3.11	3.78	0.061	0.179	89.8297	0.2274	2.66627	3.08920	
139	350	3.32	3.78	0.060	0.179	90.0448	0.2283	2.17252	3.05711	
140	350	3.27	3.67	0.061	0.179	89.9300	0.2278	3.90013	3.00087	
141	350	4.04	3.78	0.061	0.178	89.6336	0.2264	3.12101	2.96528	
142	350	3.14	3.57	0.059	0.178	89.6478	0.2263	3.40473	2.98135	
143	350	3.06	3.64	0.058	0.179	89.7618	0.2269	1.98164	3.00675	
144	350	3.98	3.70	0.070	0.179	89.8193	0.2274	3.00406	2.98751	
145	350	2.41	3.72	0.061	0.178	89.4515	0.2260	2.53361	2.97935	
